Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
09/08/2022,16:59:07:600,105124,1135,35,3.321245,0.254068,0.001287,4.628666,3.029145,10.040676,10.040676,2.075739,0.863037,0.000000
09/08/2022,16:59:08:596,106120,1695,35,3.325764,0.267416,0.003652,5.164513,3.299427,11.492327,11.499720,2.316403,0.780884,0.000000
09/08/2022,16:59:09:607,107131,1035,35,3.328354,0.254085,0.001492,4.829915,3.246051,11.242185,11.234763,2.269994,1.158813,0.000000
09/08/2022,16:59:10:587,108111,1985,36,3.352554,0.584675,0.048828,5.538236,3.924144,13.265457,13.265457,2.585858,0.810913,0.000000
09/08/2022,16:59:11:611,109135,1887,35,3.362501,0.455775,0.004671,4.542448,3.512204,11.598733,11.598733,2.315727,0.799194,0.000000
09/08/2022,16:59:12:608,110132,968,36,3.363374,0.315449,0.002659,4.387513,3.352280,11.472583,11.472583,2.302647,0.871948,0.000000
09/08/2022,16:59:13:604,111128,1967,36,3.364444,0.263989,0.003908,5.132100,3.341427,11.649022,11.649022,2.351077,0.808960,0.000000
09/08/2022,16:59:14:599,112123,1467,35,3.367721,0.282466,0.001244,5.126953,3.304973,11.365408,11.365408,2.313938,0.761841,0.000000
09/08/2022,16:59:15:611,113135,1932,35,3.363813,0.299395,0.001678,4.665164,3.211431,10.830090,10.842236,2.193585,0.809204,0.000000
09/08/2022,16:59:16:609,114133,1896,36,3.373246,0.390307,0.003914,4.944629,3.543709,11.998268,11.986315,2.410255,0.808594,0.000000
09/08/2022,16:59:17:604,115128,1518,35,3.371819,0.272830,0.000991,4.804339,3.207661,10.934344,10.934344,2.216511,0.775879,0.000000
09/08/2022,16:59:18:615,116139,1497,35,3.369303,0.220622,0.000747,4.716399,3.180237,11.073959,11.081803,2.244990,0.775757,0.000000
09/08/2022,16:59:19:612,117136,884,36,3.362265,0.224612,0.001041,4.437087,3.122894,10.814221,10.803464,2.188874,0.831299,0.000000
09/08/2022,16:59:20:608,118132,1819,36,3.358386,0.242154,0.003105,4.378348,3.164639,10.846644,10.849749,2.210795,0.789551,0.000000
09/08/2022,16:59:21:619,119143,1596,35,3.359613,0.324424,0.000621,4.769461,3.295402,11.128560,11.142961,2.248322,0.780640,0.000000
09/08/2022,16:59:22:615,120139,1903,35,3.346893,0.205718,0.000613,4.258769,2.965843,10.029326,10.015139,2.059060,0.800049,0.000000
09/08/2022,16:59:23:612,121136,1617,35,3.350537,0.254769,0.001927,4.756383,3.281665,11.417067,11.425095,2.307325,0.780640,0.000000
09/08/2022,16:59:24:623,122147,1916,35,3.344381,0.229860,0.052316,4.360995,3.140920,10.842994,10.824098,2.200330,0.800049,0.000000
09/08/2022,16:59:25:619,123143,970,35,3.339599,0.256421,0.004093,4.676834,3.151833,10.682660,10.707870,2.183153,0.851685,0.000000
09/08/2022,16:59:26:616,124140,1800,35,3.333317,0.273634,0.004346,4.944196,3.053186,10.136493,10.121040,2.075195,0.801147,0.000000
09/08/2022,16:59:27:629,125153,1823,35,3.328465,0.250716,0.003722,4.658425,3.152925,10.778980,10.800100,2.186858,0.790039,0.000000
09/08/2022,16:59:28:625,126149,1679,35,3.329125,0.248173,0.002444,4.824029,3.250932,11.341864,11.343130,2.277521,0.781982,0.000000
09/08/2022,16:59:29:620,127144,1796,35,3.322520,0.207383,0.000869,4.681399,3.092986,10.739188,10.738576,2.174653,0.802002,0.000000
09/08/2022,16:59:30:632,128156,1618,35,3.315121,0.257828,0.004666,4.341037,3.065881,10.207240,10.175143,2.101056,0.771973,0.000000
09/08/2022,16:59:31:613,129137,1848,35,3.315637,0.252956,0.001347,4.205719,3.293878,11.500457,11.511822,2.310341,0.800049,0.000000
09/08/2022,16:59:32:636,130160,799,36,3.313142,0.254544,0.002459,4.838098,3.130952,10.675615,10.675615,2.166281,0.825439,0.000000
09/08/2022,16:59:33:617,131141,1994,36,3.316524,0.288299,0.001270,5.318778,3.246296,11.063130,11.077523,2.248516,0.810059,0.000000
09/08/2022,16:59:34:624,132148,1000,36,3.313579,0.210877,0.074114,4.520961,3.105219,10.763071,10.748092,2.182396,0.830933,0.000000
09/08/2022,16:59:35:636,133160,1899,34,3.319037,0.262193,0.000614,4.450593,3.373513,11.597953,11.597953,2.366142,0.814087,0.000000
09/08/2022,16:59:36:632,134156,1896,35,3.319874,0.268444,0.001163,2.749779,3.245883,11.029451,11.029451,2.250815,0.809326,0.000000
09/08/2022,16:59:37:628,135152,1599,35,3.322407,0.257255,0.002238,4.778181,3.193655,10.702294,10.702294,2.195060,0.781738,0.000000
09/08/2022,16:59:38:641,136165,983,34,3.321924,0.202912,0.309535,4.241943,3.268206,11.695096,11.695096,2.342599,0.884644,0.000000
09/08/2022,16:59:39:636,137160,638,35,3.320588,0.299305,0.004098,4.551741,3.247706,10.861245,10.861245,2.231945,0.851318,0.000000
09/08/2022,16:59:40:633,138157,667,35,3.325937,0.233202,0.005097,4.302397,3.336340,11.711389,11.732859,2.367747,0.942871,0.000000
09/08/2022,16:59:41:645,139169,1996,35,3.319718,0.251599,0.000249,4.734336,3.048339,10.311146,10.289719,2.098666,0.821411,0.000000
09/08/2022,16:59:42:625,140149,918,35,3.318958,0.270779,0.001833,4.628120,3.255331,11.201580,11.201580,2.261735,0.838623,0.000000
09/08/2022,16:59:43:649,141173,1555,35,3.324132,0.245026,0.001391,4.409416,3.344980,11.694460,11.694460,2.371216,0.770996,0.000000
09/08/2022,16:59:44:629,142153,1821,35,3.326402,0.268700,0.002843,4.659304,3.298560,11.347408,11.347408,2.301957,0.789795,0.000000
09/08/2022,16:59:45:637,143161,698,35,3.330801,0.286386,0.001199,4.300981,3.392217,11.642161,11.642161,2.369279,0.732178,0.000000
09/08/2022,16:59:46:649,144173,1883,35,3.332979,0.281440,0.003946,4.512656,3.307304,11.186708,11.196197,2.291007,0.800049,0.000000
09/08/2022,16:59:47:645,145169,765,35,3.331958,0.284994,0.000856,4.450351,3.267154,11.162920,11.153435,2.264091,0.882690,0.000000
09/08/2022,16:59:48:641,146165,1885,34,3.334017,0.291950,0.004098,5.742597,3.327068,11.363375,11.363375,2.315598,0.798706,0.000000
09/08/2022,16:59:49:653,147177,1726,35,3.331570,0.256944,0.004786,4.381026,3.158725,10.601059,10.601059,2.179188,0.785400,0.000000
09/08/2022,16:59:50:650,148174,1896,35,3.345800,0.501797,0.001345,4.853297,3.621623,12.071377,12.071377,2.376994,0.809692,0.000000
09/08/2022,16:59:51:646,149170,1554,35,3.352197,0.344129,0.003536,4.507882,3.389622,11.454713,11.454713,2.312112,0.771240,0.000000
09/08/2022,16:59:52:657,150181,1996,34,3.343547,0.206475,0.001305,4.593770,2.996814,10.189076,10.189076,2.085919,0.810059,0.000000
09/08/2022,16:59:53:655,151179,932,35,3.342500,0.222246,0.000673,4.511569,3.278102,11.581527,11.581527,2.332363,0.831421,0.000000
09/08/2022,16:59:54:649,152173,1396,35,3.351428,0.308529,0.001428,4.289900,3.456838,11.835989,11.835989,2.398553,0.755249,0.000000
09/08/2022,16:59:55:660,153184,706,36,3.344837,0.210481,0.000062,4.751290,3.121192,10.851240,10.858977,2.197634,0.831909,0.000000
09/08/2022,16:59:56:657,154181,1996,35,3.338532,0.266463,0.003486,4.907497,3.078728,10.216235,10.208628,2.109426,0.820068,0.000000
09/08/2022,16:59:57:653,155177,1924,31,3.338260,0.272797,0.001054,4.785846,3.285602,11.226796,11.215546,2.291570,0.799683,0.000000
09/08/2022,16:59:58:664,156188,1343,35,3.339245,0.259679,0.006091,4.349203,3.330705,11.554580,11.554580,2.341029,1.005249,0.000000
09/08/2022,16:59:59:661,157185,1286,35,3.350045,0.602630,0.004841,4.420208,3.605977,11.499844,11.511230,2.271475,0.940063,0.000000
09/08/2022,17:00:00:658,158182,1924,35,3.348314,0.329019,0.004222,4.669327,3.189165,10.485007,10.485007,2.150556,0.809692,0.000000
09/08/2022,17:00:01:654,159178,1599,35,3.353988,0.373165,0.002608,4.679661,3.412008,11.535951,11.535951,2.312235,0.781372,0.000000
09/08/2022,17:00:02:670,160194,1906,35,3.353294,0.267200,0.002113,4.287786,3.299068,11.332684,11.332684,2.298072,0.799316,0.000000
09/08/2022,17:00:03:650,161174,1422,34,3.359527,0.284912,0.001582,5.450909,3.359246,11.559133,11.559133,2.349974,0.764893,0.000000
09/08/2022,17:00:04:682,162206,856,34,3.352473,0.200544,0.000758,4.650993,3.054159,10.535228,10.535228,2.147815,0.898682,0.000000
09/08/2022,17:00:05:661,163185,923,35,3.350607,0.247378,0.003178,5.062740,3.185100,10.996442,10.996442,2.226896,0.869263,0.000000
09/08/2022,17:00:06:676,164200,1689,35,3.349661,0.244647,0.000822,4.979647,3.281414,11.343677,11.339758,2.310492,0.784546,0.000000
09/08/2022,17:00:07:659,165183,1620,35,3.340877,0.242859,0.005127,4.546352,3.053831,10.154025,10.146629,2.103546,0.780884,0.000000
09/08/2022,17:00:08:667,166191,1597,35,3.344346,0.292263,0.004409,4.324727,3.361658,11.627135,11.638963,2.340819,0.775635,0.000000
09/08/2022,17:00:09:683,167207,929,35,3.339827,0.257206,0.000736,4.642631,3.176404,10.786935,10.786935,2.202412,0.848877,0.000000
