Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
17/08/2022,17:33:55:808,27208115,1446,79,14.917925,9.436272,0.244555,5.353317,15.034144,31.330846,4.252373,1.002441,0.000000
17/08/2022,17:33:56:812,27209119,1732,76,14.967879,10.396509,0.388553,5.563061,16.348123,33.330375,4.447079,1.015869,0.000000
17/08/2022,17:33:57:828,27210135,1804,78,14.977663,9.282389,0.495029,5.463315,15.240734,32.021307,4.351673,1.020020,0.000000
17/08/2022,17:33:58:798,27211105,2109,70,14.909491,7.432699,0.507103,5.157260,13.097062,28.437277,4.088754,1.123779,0.000000
17/08/2022,17:33:59:814,27212121,2096,75,14.971453,10.730358,0.505522,5.462206,16.698086,33.819014,4.347325,0.827515,1.078125
17/08/2022,17:34:00:802,27213109,1790,72,14.978104,9.128480,0.474044,5.552217,15.154741,31.839166,4.441329,0.997437,0.000000
17/08/2022,17:34:01:837,27214144,1709,72,14.927688,7.896948,0.514845,5.137517,13.549310,29.055579,4.073401,0.997681,0.000000
17/08/2022,17:34:02:793,27215100,1261,72,14.951055,9.578333,0.502375,5.479129,15.559837,32.284652,4.366697,0.956787,0.000000
17/08/2022,17:34:03:827,27216134,1302,75,14.997891,10.292787,0.476725,5.553305,16.322818,33.287120,4.439558,0.848145,0.000000
17/08/2022,17:34:04:820,27217127,2836,83,15.093125,11.497866,0.477125,5.601776,17.576767,35.068686,4.485700,1.053345,0.000000
17/08/2022,17:34:05:820,27218127,1883,83,15.126215,9.844608,0.506721,5.674856,16.026185,32.982833,4.544970,0.981812,0.000000
17/08/2022,17:34:06:807,27219114,1417,81,15.140463,9.493774,0.464966,5.566406,15.525146,32.307129,4.462654,1.039795,0.000000
17/08/2022,17:34:07:818,27220125,1844,70,15.021938,6.065315,0.491490,5.228041,11.784846,26.707550,4.149959,0.884277,0.000000
17/08/2022,17:34:08:805,27221112,1471,82,15.078989,10.638083,0.513627,5.453422,16.605131,33.799712,4.346865,1.011841,0.000000
17/08/2022,17:34:09:824,27222131,1527,77,15.101693,9.944035,0.507247,5.271139,15.722421,32.280053,4.188630,0.994385,0.000000
17/08/2022,17:34:10:810,27223117,1570,73,15.117872,9.431790,0.512324,5.602584,15.546698,32.296480,4.468804,0.978882,0.000000
17/08/2022,17:34:11:813,27224120,1253,75,15.145644,9.866092,0.472249,5.568189,15.906529,32.837471,4.459160,1.046387,0.000000
17/08/2022,17:34:12:816,27225123,1747,77,15.195482,10.262426,0.499904,5.774607,16.536937,34.340725,4.631309,0.808105,1.078125
17/08/2022,17:34:13:818,27226125,1639,73,15.211163,9.097220,0.494671,6.041324,15.633215,33.128763,4.866520,0.978271,0.000000
