Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
18/08/2022,12:14:52:142,5619765,1596,46,6.443349,1.713037,0.090192,4.688577,6.491806,6.640144,19.366213,3.774329,0.767944,0.000000
18/08/2022,12:14:53:138,5620761,1745,46,6.481516,2.173428,0.092901,5.250004,7.516332,6.671311,22.097359,4.239035,0.803589,0.921875
18/08/2022,12:14:54:148,5621771,1755,45,6.525339,2.671085,0.093514,4.948873,7.713471,6.708382,21.355434,3.952195,0.751587,0.000000
18/08/2022,12:14:55:143,5622766,1317,45,6.514718,1.497444,0.091824,4.641932,6.231200,6.691152,18.449434,3.677958,0.744263,0.000000
18/08/2022,12:14:56:149,5623772,1482,45,6.492855,1.284750,0.093612,4.519859,5.898221,6.715793,17.750116,3.569206,0.792236,0.000000
18/08/2022,12:14:57:143,5624766,1420,45,6.483515,1.443569,0.092129,4.697472,6.233170,6.698453,18.966781,3.769148,0.770752,0.000000
18/08/2022,12:14:58:154,5625777,1677,47,6.552608,3.043890,0.092690,5.295184,8.431764,6.759986,23.398732,4.274853,0.811157,0.000000
18/08/2022,12:14:59:149,5626772,1974,48,6.595595,2.412006,0.095266,5.235854,7.743125,6.795449,22.348768,4.212573,0.766602,0.000000
18/08/2022,12:15:00:146,5627769,1277,46,6.589107,1.664050,0.092869,4.656487,6.413405,6.781845,18.660117,3.681820,0.741577,0.000000
18/08/2022,12:15:01:153,5628776,1364,46,6.581388,1.630975,0.093820,4.647312,6.372107,6.766385,18.833233,3.692045,0.759521,0.921875
18/08/2022,12:15:02:152,5629775,1597,46,6.566388,1.435054,0.092766,4.636062,6.163883,6.744760,18.546098,3.695682,0.742432,0.000000
18/08/2022,12:15:03:146,5630769,1208,46,6.625789,2.852813,0.094060,5.286085,8.232958,6.797803,23.089716,4.290582,0.796631,0.000000
18/08/2022,12:15:04:155,5631778,1536,46,6.660948,2.292127,0.093146,5.228908,7.614182,6.826843,22.452542,4.188813,1.243896,0.000000
18/08/2022,12:15:05:146,5632769,1858,46,6.688629,2.529662,0.095999,4.803449,7.429110,6.848546,19.905333,3.783816,0.741577,0.000000
18/08/2022,12:15:06:153,5633776,998,46,6.665107,1.296751,0.091983,4.635965,6.024699,6.819358,18.347082,3.693954,0.769409,0.921875
18/08/2022,12:15:07:165,5634788,2120,46,6.656207,1.667524,0.090458,4.658916,6.416898,6.804913,19.108727,3.733317,0.917969,0.000000
18/08/2022,12:15:08:141,5635764,1153,43,6.691313,2.232177,0.089085,5.304337,7.625599,6.834634,22.380039,4.287690,0.812866,0.000000
18/08/2022,12:15:09:158,5636781,1384,46,6.717249,2.443785,0.091021,4.901332,7.436137,6.855557,20.198626,3.865873,0.745361,0.000000
18/08/2022,12:15:10:152,5637775,1149,46,6.705466,1.499498,0.094311,4.799354,6.393163,6.838746,19.251915,3.844375,0.750000,0.000000
18/08/2022,12:15:11:159,5638782,1818,45,6.697337,1.560607,0.100373,4.815262,6.476242,6.825890,19.306041,3.825546,0.738037,0.000000
18/08/2022,12:15:12:147,5639770,1676,46,6.693643,1.537092,0.101463,4.956091,6.594646,6.817573,20.069050,4.009973,0.791138,0.921875
18/08/2022,12:15:13:171,5640794,1114,46,6.707289,1.850287,0.101169,5.129303,7.080758,6.826851,20.803042,4.100054,0.766968,0.921875
18/08/2022,12:15:14:151,5641774,1839,46,6.700110,1.627823,0.101705,4.781643,6.511171,6.815295,19.320899,3.807060,0.733765,0.000000
